DATA,DESCRIÇÃO,CATEGORIA,FORMA DE PAGAMENTO,PARCELAS RESTANTES,VALOR
,Treino,PESSOAL,CARTÃO X,12,"152,91"
26/08,Netflix,STREAMING,CARTÃO Y,12,"55,9"
,HBO,STREAMING,CARTÃO Y,12,"24,43"
,ML,STREAMING,CARTÃO Y,12,9
,Treino,PESSOAL,CARTÃO Y,12,0
,Recarga Cel,PESSOAL,CARTÃO W,12,60
,sofá,CASA,CARTÃO X,8,270
,móvel,CASA,CARTÃO X,8,59
,Bateria - Laerti,COMPRAS,CARTÃO X,5,35
,Renner,LAZER,CARTÃO X,5,86
,Esfera,MILHAS,CARTÃO X,4,"52,5"
,Relógio,COMPRAS,CARTÃO X,3,"55,35"
,sapato branco,LAZER,CARTÃO Y,3,37
,Casas Bahia,COMPRAS,CARTÃO X,2,"259,9"
,Americanas,COMPRAS,CARTÃO X,2,94
,bike - shopee,BIKE,CARTÃO X,2,"42,24"
,Tênis Kaio,PESSOAL,CARTÃO X,2,100
,Renner,PESSOAL,CARTÃO Y,2,"86,56"
,Lexmar,COMPRAS,CARTÃO Z,2,"52,49"
,Feira de bebê,LAZER,CARTÃO Y,2,55
,salto corumba,LAZER,CARTÃO Y,2,75
,ice Laser,PESSOAL,CARTÃO X,1,"94,8"
,tapete,CASA,CARTÃO X,1,"116,68"
,tenis nanda,PESSOAL,CARTÃO X,1,"70,02"
,MILHAS ,MILHAS,CARTÃO Z,1,175
,Medicamentos,CACHORRO,CARTÃO X,1,76
,Drogasil,BELEZA/SAÚDE,CARTÃO Y,1,"47,49"
,Renner,PESSOAL,CARTÃO Y,1,"50,4"
,Smart Kaio,PESSOAL,CARTÃO X,1,150
,Smart Nanda,PESSOAL,CARTÃO Y,1,150
,xbox,PESSOAL,CARTÃO Y,1,"44,99"
,carisma,COMPRAS,CARTÃO Z,1,"69,99"
,Café,PADARIA,CARTÃO X,1,"30,5"
,Feira,MERCADO,CARTÃO Y,1,"166,35"
,Assai,MERCADO,CARTÃO Y,1,"315,02"
,Almoço,LANCHES,CARTÃO Y,1,"20,9"
,Carrefour,MERCADO,CARTÃO Y,1,"29,79"
,Veneza,MERCADO,CARTÃO Y,1,"37,98"
,Iceberg,LANCHES,CARTÃO Y,1,54
,Muzzarella,LANCHES,CARTÃO X,1,"45,29"
,Combustível,COMBUSTÍVEL,CARTÃO Y,1,"183,42"
,ifood,LANCHES,CARTÃO Y,1,"34,05"
,hot machine,LANCHES,CARTÃO Y,1,"10,5"
,brasal,LANCHES,CARTÃO Y,1,"7,99"
,Ingresso J Gomes,LAZER,CARTÃO X,1,"115,54"
,boteco do Juca,LAZER,CARTÃO X,1,"23,46"
,Açaí,LAZER,CARTÃO X,1,"32,83"
,Boteco,LAZER,CARTÃO Y,1,"67,8"
,Gasolina,COMBUSTÍVEL,CARTÃO Y,1,"189,36"
,doce supremo,LANCHES,CARTÃO X,1,"38,99"
,Pastel,LANCHES,CARTÃO X,1,"45,5"
,hot dog,LANCHES,CARTÃO X,1,18
,Padaria,PADARIA,CARTÃO X,1,"29,29"
,Mercadinho,MERCADO,CARTÃO X,1,"12,86"
,Almoço,MERCADO,CARTÃO X,1,26
,YouTube Premium,STREAMING,CARTÃO Y,1,"19,63"
,Roupinha,LAZER,CARTÃO Y,1,55
,Gasolina,COMBUSTÍVEL,CARTÃO Y,1,"230,87"
,Veneza,MERCADO,CARTÃO X,1,"156,98"
,Veneza,LAZER,CARTÃO X,1,"24,96"
,Dia a dia,LAZER,CARTÃO X,1,"21,58"
,mochila,LAZER,CARTÃO X,1,"38,24"
,açaí,LAZER,CARTÃO X,1,"40,14"
,Drogaria,LAZER,CARTÃO X,1,"14,99"
,uber,LAZER,CARTÃO Y,1,"24,97"
,ifood,LAZER,CARTÃO Y,1,"21,99"
,almoço,LAZER,CARTÃO Y,1,39
,drogasil,LAZER,CARTÃO Y,1,"17,99"
,gasolina,COMBUSTÍVEL,CARTÃO Y,1,"230,09"
,,-,-,1,
,,-,-,1,
,,-,-,1,
,,-,-,1,
,,-,-,1,
,,-,-,1,
,,-,-,1,
,,-,-,1,
,,-,-,1,
,,-,-,1,
,,-,-,1,
,,-,-,1,
,,-,-,1,
,,-,-,1,
,,-,-,1,
,,-,-,1,
,,-,-,1,
,,-,-,1,
,,-,-,1,
,,-,-,1,
,,-,-,1,
,,-,-,1,
,,-,-,1,
,,-,-,1,
,,-,-,1,
,,-,-,1,
,,-,-,1,
,,-,-,1,
,,-,-,1,
,,-,-,1,
,,-,-,1,
,,-,-,1,
,,-,-,1,
,,-,-,1,
,,-,-,1,
,,-,-,1,
,,-,-,1,
,,-,-,1,
,,-,-,1,
,,-,-,1,
,,-,-,1,
,,-,-,1,
,,-,-,1,
,,-,-,1,
,,-,-,1,
,,-,-,1,
,,-,-,1,
